sample_id,hatch_failure,court_success,breeding_condition,mean_clutch_no,fledge_rate,eggs_per_50,total_birds,fledged,total_eggs,distance
2,0.31096090984263525,0.5148986097190351,0.6765232911812611,1.7580329321550436,0.3333333333333333,0.3,49.0,5.0,15.0,0.8092711245845979
1,0.4682356070820062,0.8383497437114557,0.9122628486966958,1.1304082489441243,0.14285714285714285,0.28,48.0,2.0,14.0,1.4105180695367912
0,0.4197133992289419,0.5125053776113335,0.6962602614291917,1.334816107223234,0.0,0.08,47.0,0.0,4.0,2.785847168177832
