Season,Date,site,banding_nest_no.,zoo_aviary_id,life_stage,Band_Number,Current_band,Bands_at_banding,Sex_given,Sexing_method,sex_questioned,sex_verified,Infertile,Weight_g,Head_Bill_Length,Bill,Tarsus,Tarsus_width_plane_of_body,Wing_Length,blood_taken,moult_scored,fat,lice,faecal_sample,photo,new_bands_applied,age_at_banding_days,Colour_band_type,Colour_band_depth_over_metal_band,Colour_bands_fused_with_THF,bander,comments
1990/1991,20/01/1991,NA,NA,NA,chick,C43701,W-M,W-M,female,copulation,NA,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,NA,no,NA,NA
1991/1992,7/01/1992,NA,NA,NA,chick,C43757,G-M,G-M,female,DNA,NA,female,NA,65.5,55.6,21.1,17,NA,131,NA,NA,NA,NA,NA,NA,1,23,NA,NA,no,NA,NA
1991/1992,11/01/1992,NA,NA,NA,juvenile,C43758,M-W,M-W,female,DNA,NA,female,NA,68.5,51.8,19.9,16.8,NA,115,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1991/1992,11/01/1992,NA,NA,NA,chick,C43759,M-Y,M-Y,female,Unknown,NA,female,NA,58.5,49.4,18,16,NA,100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1991/1992,11/01/1992,NA,NA,NA,chick,C43760,M-R,M-R,female,DNA,NA,female,NA,60.5,52.5,20.6,16.5,NA,128,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1992/1993,7/02/1993,NA,NA,NA,chick,C42540,BW-M,BW-M,female,Unknown,NA,female,NA,58,48.2,18.5,18.5,NA,104,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1992/1993,7/02/1993,NA,NA,NA,chick,C42541,WpG-M,WpG-M,female,Unknown,NA,female,NA,52,48.9,18.7,17.5,NA,110,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1993/1994,29/12/1993,NA,NA,NA,chick,C43768,Y-M,Y-M,female,Unknown,NA,female,NA,59,50.1,18.3,16.3,NA,104,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no and very pail,NA,NA
1997/1998,15/01/1998,NA,NA,NA,chick,C43874,RY-M,RY-M,female,Unknown,NA,female,NA,54,46.8,16.9,19,NA,89,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1997/1998,14/01/1998,NA,NA,NA,chick,C43876,RpG-M,RpG-M,female,behaviour,NA,female,NA,60.5,51.8,18.8,19.4,NA,118,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no,NA,NA
1998/1999,27/01/1999,zoo,papakanui,NA,juvenile,C44002,WY-M,WY-M,unknown,Unknown,NA,female,NA,66,59.95,NA,14.33,NA,191,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1998/1999,22/01/1999,NA,NA,NA,chick,C44009,M-WB,M-WB,female,DNA,NA,female,NA,56.6,48.4,17.6,18,NA,89,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
1998/1999,22/01/1999,NA,NA,NA,chick,C44011,pG-M,pGW-M,female,DNA,male,female,NA,63.8,52.6,19.3,18.6,NA,111,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
1998/1999,25/01/1999,NA,NA,NA,chick,C44012,M-BW,M-BW,female,DNA,NA,female,NA,59,49.3,17.5,NA,NA,100,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
1999/2000,30/12/1999,NA,NA,NA,chick,C28703,M-WR,M-WR,female,Unknown,NA,female,NA,60,45.2,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,Tetrahydrofuran,NA,NA
1999/2000,30/12/1999,NA,NA,NA,chick,C28704,M-WY,M-WY,female,Unknown,NA,female,NA,62.25,46.5,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
1999/2000,29/01/2000,NA,NA,NA,chick,C28712,M-WpG,M-WpG,female,Unknown,NA,female,NA,61,51.2,18.6,NA,NA,116,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no,NA,NA
1999/2000,12/02/2000,NA,NA,NA,chick,C28714,M-YpG,M-YpG,female,Unknown,NA,female,NA,62.5,51.7,19.3,NA,NA,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1999/2000,4/12/1999,NA,NA,NA,chick,C43785,pGB-M,pGB-M,female,behaviour,yes,female,NA,54,45.8,14.5,17.5,NA,73,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
1999/2000,4/12/1999,NA,NA,NA,chick,C43984,M-RW,M-RW,female,Unknown,NA,female,NA,59,47.5,15.7,18.6,NA,81.5,NA,NA,NA,NA,NA,NA,1,15,NA,NA,no,NA,NA
2000/2001,31/12/2000,NA,NA,NA,chick,C41553,M-nil,M-YB,female,DNA?,yes in nest database as both,female,NA,57.5,49.63,18,19.86,NA,100,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
2001/2002,27/11/2001,NA,NA,NA,chick,C41563,M-BY,M-BY,female,DNA,NA,female,NA,27.5,47.92,17.05,19.57,NA,105,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2001/2002,29/12/2001,NA,NA,NA,chick,C41566,M-nil,M-BpG,female,DNA,NA,female,NA,62,47.35,17.5,17.35,NA,98,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2001/2002,30/12/2001,NA,NA,NA,chick,C41567,M-pG,M-pGR,female,behaviour,female,female,problem genetics,51,47.3,16.6,18.6,NA,80,NA,NA,NA,NA,NA,NA,1,15,NA,NA,no,NA,NA
