Season,Date,site,banding_nest_no.,zoo_aviary_id,life_stage,Band_Number,Current_band,Bands_at_banding,Sex_given,Sexing_method,sex_questioned,sex_verified,Infertile,Weight_g,Head_Bill_Length,Bill,Tarsus,Tarsus_width_plane_of_body,Wing_Length,blood_taken,moult_scored,fat,lice,faecal_sample,photo,new_bands_applied,age_at_banding_days,Colour_band_type,Colour_band_depth_over_metal_band,Colour_bands_fused_with_THF,bander,comments
2001/2002,30/12/2001,NA,NA,NA,chick,C41568,B-WM,B-WM,unknown,DNA?,NA,female,NA,57,48.64,17.19,19.49,NA,90,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
2003/2004,30/12/2003,NA,NA,NA,chick,C41572,Y-pGM,Y-pGM,female,DNA,NA,female,NA,55,48.89,16.95,18.4,NA,102,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
2003/2004,30/12/2003,NA,NA,NA,chick,C41573,Y-BM,Y-BM,female,DNA,NA,female,NA,54.5,46.06,16.48,18.8,NA,88,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2003/2004,3/02/2004,NA,NA,NA,chick,C41575,BM-B?,B-BM,female,DNA,NA,female,NA,58.5,45.91,16.86,17.84,NA,96,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2005/2006,23/12/2005,NA,NA,NA,chick,C69005,M-KY,M-KY,female,DNA,NA,female,NA,58,NA,19,NA,NA,118,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,Katrina Hansen,NA
2005/2006,31/12/2005,NA,NA,NA,chick,C69006,M-KB,M-KB,female,DNA,NA,female,NA,64,49.51,18,20.38,NA,110,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,Katrina Hansen,NA
2005/2006,9/01/2006,NA,NA,NA,chick,C69007,M-KR,M-KR,female,DNA,NA,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,Katrina Hansen,NA
2005/2006,18/01/2006,NA,NA,NA,chick,C69008,M-RK,M-RK,female,DNA,NA,female,NA,52,47.99,17,19.27,NA,99,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,Katrina Hansen,NA
2006/2007,28/12/2006,NA,NA,NA,chick,C69011,M-pGK,M-pGK,female,DNA,NA,female,NA,56,30.8,17.7,16.6,NA,101,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,Katrina Hansen,NA
2006/2007,2/01/2007,NA,NA,NA,chick,C69013,M-YK,M-YK,female,DNA,NA,female,NA,61,46.97,16.6,16.3,NA,88,NA,NA,NA,NA,NA,NA,1,20,but,NA,no,Tony Beauchamp,NA
2006/2007,9/01/2007,NA,NA,NA,chick,C69015,KR-M,KR-M,female,DNA,NA,female,NA,62,49.5,NA,16.15,NA,100,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,Tony Beauchamp,NA
2006/2007,9/01/2007,NA,NA,NA,chick,C69016,WK-M,WK-M,female,DNA,NA,female,NA,45,45,NA,15.2,NA,68,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,Tony Beauchamp,NA
2007/2008,3/01/2008,NA,NA,NA,chick,C69021,WM-B,WM-B,female,DNA,NA,female,NA,46,46.45,15.63,15.38,NA,70.7,NA,NA,NA,NA,NA,NA,1,19,but,3.5,no,Tony Beauchamp,NA
2008/2009,13/02/2009,NA,NA,NA,chick,C75804,KM-Y,KM-Y,female,DNA,NA,female,NA,NA,46.3,21.6,16.9,NA,91,NA,NA,NA,NA,NA,NA,1,20,but,4 mm yellow over metal,Tetrahydrofuran,David Wilson,NA
2009/2010,24/12/2009,NA,NA,NA,chick,C69029,BM-Y,BM-Y,female,DNA,NA,female,NA,80,51.2,19.8,16.8,NA,104,NA,NA,NA,NA,NA,NA,1,19,but,NA,Tetrahydrofuran,Tony Beauchamp,NA
2009/2010,24/12/2009,NA,NA,NA,chick,C69030,pGM-B,pGM-B,female,DNA,NA,female,NA,77,51,19.2,15.2,NA,105,NA,NA,NA,NA,NA,NA,1,19,but,NA,Tetrahydrofuran,Tony Beauchamp,NA
2009/2010,27/12/2009,NA,NA,NA,chick,C69031,pGM-Y,pGM-Y,female,DNA,yes in nest database as both,female,NA,71,49.4,17.4,15.7,NA,93.6,NA,NA,NA,NA,NA,NA,1,19,but,4.0 pail green,Tetrahydrofuran,Tony Beauchamp,NA
2009/2010,24/12/2009,NA,NA,NA,chick,C75805,KpG-M,KpG-M,female,DNA,NA,female,NA,50.5,49.1,17.2,15.7,NA,105,NA,NA,NA,NA,NA,NA,1,18,but,NA,Tetrahydrofuran,David Wilson,NA
2009/2010,24/12/2009,NA,NA,NA,chick,C75806,KB-M,KB-M,female,DNA,NA,female,NA,59.5,49.1,17.9,16.1,NA,108,NA,NA,NA,NA,NA,NA,1,18,but,NA,Tetrahydrofuran,David Wilson,NA
2010/2011,13/12/2010,NA,NA,NA,chick,C69036,W-WM,W-WM,Female,DNA,NA,female,NA,69,49.8,18.9,14.5,NA,91.4,NA,NA,NA,NA,NA,NA,1,21,but,3.5 mm white,Tetrahydrofuran,Tony Beauchamp,NA
2010/2011,26/12/2010,NA,NA,NA,chick,C69037,RM-Y,RM-Y,Female,DNA,NA,female,NA,63,48.8,17.6,15.7,NA,98,NA,NA,NA,NA,NA,NA,1,20,but,4.0mm red,Tetrahydrofuran,Tony Beauchamp,NA
2010/2011,26/12/2010,NA,NA,NA,chick,C69038,W-pGM,W-pGM,Female,DNA,NA,female,NA,54,48,17.55,15,NA,90,NA,NA,NA,NA,NA,NA,1,20,but,3.5 mm pg,Tetrahydrofuran,Tony Beauchamp,NA
2010/2011,20/01/2011,NA,NA,NA,chick,C75816,YM-W,YM-W,Female,DNA,NA,female,NA,54,47.6,17.4,16.9,NA,100,NA,NA,NA,NA,NA,NA,1,19,but,3.5mm yellow,Tetrahydrofuran,David Wilson,NA
2011/2012,22/12/2011,NA,NA,NA,chick,C75822,R-WM,R-WM,Female,DNA,NA,female,NA,60,48.6,16.2,17,NA,105,NA,NA,NA,NA,NA,NA,1,19,but,3.5mm white,Tetrahydrofuran,David Wilson,NA
2011/2012,24/12/2011,NA,NA,NA,chick,C75900,W-BM,W-BM,Female,DNA,NA,female,NA,59,50.6,17.1,16.2,NA,111,NA,NA,NA,NA,NA,NA,1,18,but,3.5mm blue,Tetrahydrofuran,David Wilson,NA
2012/2013,9/01/2013,NA,NA,NA,chick,C75823,RM-BW,RM-BW,female,behaviour,NA,female,NA,63,50.7,18.8,17,NA,112,NA,NA,NA,NA,NA,NA,1,19,but,3.2mm red,Tetrahydrofuran,David Wilson,NA
2012/2013,9/01/2013,NA,NA,NA,chick,C75824,RM-KR,RM-KR,female,behaviour,NA,female,NA,62,49.3,17.4,16.6,NA,93,NA,NA,NA,NA,NA,NA,1,18,but,3.2mm red,Tetrahydrofuran,David Wilson,NA
2012/2013,5/01/2013,NA,NA,NA,chick,C75896,WM-RB,WM-RB,Female,DNA,NA,female,never breeding plumage,50,46.2,16,15.3,NA,93,NA,NA,NA,NA,NA,NA,1,19,but,3.2mm white,Tetrahydrofuran,David Wilson,nicknamed ghost bird-no breeding plumage
2013/2014,24/12/2013,NA,NA,NA,chick,C75827,K-BM,K-BM,female,DNA,NA,female,NA,NA,52.4,19.4,16.1,NA,118,NA,NA,NA,NA,NA,NA,1,21,but,3.5mm blue,Tetrahydrofuran,David Wilson,NA
2013/2014,1/01/2014,NA,NA,NA,chick,C75888,BM-R,BM-R,Male,DNA,NA,female,NA,61,50.1,18,15.4,NA,115,NA,NA,NA,NA,NA,NA,1,18,but,3.5mm red,Tetrahydrofuran,David Wilson,NA
2013/2014,20/12/2013,NA,NA,NA,chick,C75894,pG-BM,pG-BM,female,DNA,NA,female,NA,67,52.5,18.9,16.8,NA,110,NA,NA,NA,NA,NA,NA,1,20,but,3.5mm blue,Tetrahydrofuran,David Wilson,NA
2014/2015,12/12/2014,restoration site 1,NA,NA,chick,C69040,RpG-BM,RpG-BM,Female,DNA,NA,female,NA,65,50.8,19,18,NA,104,NA,NA,NA,NA,NA,NA,1,18,but,4.5 mm blue,Tetrahydrofuran,Tony Beauchamp,NA
2014/2015,12/12/2014,restoration site 1,NA,NA,chick,C69041,BM-KR,BM-KR,Female,DNA,NA,female,NA,64,52.2,20.4,19,NA,104,NA,NA,NA,NA,NA,NA,1,19,but,4.5 mm blue,Tetrahydrofuran,Tony Beauchamp,NA
2014/2015,9/02/2015,NA,NA,NA,chick,C69042,RW-KM,RW-KM,Female,DNA,NA,female,NA,61,49.1,17.6,16.2,NA,102,NA,NA,NA,NA,NA,NA,1,18,but,4 mm black,Tetrahydrofuran,Tony Beauchamp,NA
2014/2015,12/01/2015,NA,NA,NA,chick,C75829,BM-pG,BM-pG,Female,DNA,NA,female,NA,61,50,17.8,16.6,NA,102,NA,NA,NA,NA,NA,NA,1,17,but,3.5mm blue,Tetrahydrofuran,David Wilson,NA
2014/2015,12/01/2015,NA,NA,NA,chick,C75881,KM-pG,KM-pG,Female,DNA,NA,female,NA,66,50.8,18.2,16.3,NA,111,NA,NA,NA,NA,NA,NA,1,18,but,3.5mm black,Tetrahydrofuran,David Wilson,NA
2014/2015,8/12/2014,NA,NA,NA,chick,C75883,RM-K,RM-K,Female,DNA,NA,female,NA,60,48.1,17.6,16.3,NA,101,NA,NA,NA,NA,NA,NA,1,18,but,3.3mm red,Tetrahydrofuran,David Wilson,NA
2014/2015,8/12/2014,NA,NA,NA,chick,C75884,BM-K,BM-K,Female,DNA,NA,female,??,57,49.4,17.5,16.2,NA,103,NA,NA,NA,NA,NA,NA,1,18,but,3.3mm blue,Tetrahydrofuran,David Wilson,NA
2014/2015,8/12/2014,NA,NA,NA,chick,C75885,KM-B,KM-B,Female,DNA,NA,female,NA,58,48.9,16.9,16.1,NA,100,NA,NA,NA,NA,NA,NA,1,18,but,3.3mm black,Tetrahydrofuran,David Wilson,NA
2014/2015,8/12/2014,NA,NA,NA,chick,C75886,pG-KM,pG-KM,Female,DNA,NA,female,NA,56,49,17.1,16.2,NA,97,NA,NA,NA,NA,NA,NA,1,17,but,3.3mm black,Tetrahydrofuran,David Wilson,NA
2014/2015,8/12/2014,NA,NA,NA,chick,C75887,WM-pG,WM-pG,Female,DNA,NA,female,NA,59,49,17.7,17.2,NA,96,NA,NA,NA,NA,NA,NA,1,18,but,3.3mm white,Tetrahydrofuran,David Wilson,NA
2015/2016,7/12/2015,NA,NA,NA,chick,C75831,R-KM,R-KM,male,DNA,NA,female,NA,63,49.2,18.6,16.6,NA,98,NA,NA,NA,NA,NA,NA,1,18,but,3.5mm black,Tetrahydrofuran,David Wilson,NA
2015/2016,7/12/2015,NA,NA,NA,chick,C75832,K-KM,K-KM,female,DNA,NA,female,NA,63,50,18.1,15.6,NA,101,NA,NA,NA,NA,NA,NA,1,18,but,3.5mm black,Tetrahydrofuran,David Wilson,NA
2016/2017,16/01/2017,waipu east,NA,NA,chick,C69045,YM-pG,YM-pG,Female,DNA,NA,female,NA,59,48.1,16.7,15,NA,99,NA,NA,NA,NA,NA,NA,1,19,but,5mm Acetone yellow,Tetrahydrofuran & glue,Tony Beauchamp,NA
2016/2017,20/01/2017,bund,NA,NA,chick,C69047,BM-WpG,BM-WpG,female,DNA Jana,NA,female,NA,58,51,18.1,15,NA,120,NA,NA,NA,NA,NA,NA,1,20,but,5mm Acetone blue,Tetrahydrofuran & glue,Tony Beauchamp,NA
2016/2017,31/01/2017,waller,NA,NA,chick,C75879,WM-RW,WM-RW,Female,DNA,NA,female,NA,60,49.2,17.3,16.6,NA,107,NA,NA,NA,NA,NA,NA,1,19,but,3.5mm white,glue,David Wilson,NA
2017/2018,3/01/2018,north creater,NA,NA,chick,C69051,M-W,WM-W,female,behaviour,NA,female,NA,64,51,17.8,17.2,3.3,111,NA,NA,NA,NA,NA,NA,1,18,but,3 mm while,Tetrahydrofuran & glue,Tony Beauchamp,NA
2017/2018,7/01/2018,south sea valley,NA,NA,chick,C69052,pGM-nil,pGM-W,female,DNA,NA,female,NA,47,49,17.9,15.9,3.2,110,NA,NA,NA,NA,NA,NA,1,20,but,3 mm pail green,Tetrahydrofuran & glue,Tony Beauchamp,NA
2019/2020,19/12/2019,Bund,NA,NA,chick,C69058,pGY-pGM,pGY-pGM,unknown,DNA Jana,NA,female,NA,64,50.3,19.5,15.8,NA,105,NA,NA,NA,NA,NA,NA,1,19,but,pG 4.5 mm,Tetrahydrofuran & glue,Tony Beauchamp,NA
2019/2020,31/12/2019,SSV,NA,NA,chick,C69060,RB-YM,RB-YM,unknown,DNA Jana,NA,female,NA,57,49.4,19,15,NA,98,NA,NA,NA,NA,NA,NA,1,19,but,all 4.5 mm,glue (red celluloid and others acetate),Tony Beauchamp,NA
2019/2020,4/01/2020,SSV,NA,NA,chick,C69061,pGR-WM,pGR-WM,unknown,DNA Jana,NA,female,NA,57,49.1,48,17.8,NA,100,NA,NA,NA,NA,NA,NA,1,19,but,all 4.5 mm,"THF pG and Red then glued, Blue clued",Tony Beauchamp,NA
2020/2021,12/12/2020,2nd restoration,NA,NA,chick,C69064,YM-BpG,YM-BpG,female,DNA Jana,NA,female,NA,63,49.2,18.1,12.5,NA,97,NA,NA,NA,NA,NA,NA,1,18,but,all 4.0 mm,All glued with plastic fix,Troy Makan,NA
2020/2021,2/01/2021,restoration shell bank,NA,NA,chick,C69066,WM-KW,WM-KW,unknown,Unknown,NA,female,NA,59,48.6,19.9,15.4,NA,97,NA,NA,NA,NA,NA,NA,1,19,but,all 4.0 mm,All glued with plastic fix,Tony Beauchamp,NA
2020/2021,6/01/2021,Zoo,NA,NA,chick,C69067,pGM-RW,pGM-RW,unknown,DNA Jana,NA,female,NA,61,52.1,21,15.4,2.8,112,NA,NA,NA,NA,NA,NA,1,23,but,all 4.0 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,6/12/2021,Te hue Beach Papakanui,NA,NA,chick,C69069,YM-WK,YM-WK,NA,DNA-Massey,NA,female,NA,57,49,18,16.2,4,100,NA,NA,NA,NA,NA,NA,1,18,but,all 4.5 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,30/12/2021,Te Arai aviary,pink,NA,chick,C69072,WM-pGR,WM-pGR,NA,DNA-Massey,NA,female,NA,69,49,18.1,15.8,4,89,NA,NA,NA,NA,NA,NA,1,19,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,2/01/2022,Dredge,452,NA,chick,C69076,RM-KpG,RM-KpG,NA,DNA-Massey,NA,female,NA,54,47.8,17,15.2,3,90,NA,NA,NA,NA,NA,NA,1,17,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,4/01/2022,Dredge,452,NA,chick,C69078,KM-BK,KM-BK,NA,DNA-Massey,NA,female,NA,57,46.2,17,15.4,3,81.5,NA,NA,NA,NA,NA,NA,1,17,but,all 4 mm,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,18/01/2022,Dredge,454,NA,chick,C69082,KW-RM,KW-RM,NA,DNA-Massey,NA,female,NA,59,48.2,18.1,14.2,3,101,NA,NA,NA,NA,NA,NA,1,18,but,3.2 band and 4 mm non-band leg,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,27/01/2022,Dredge,aviary W,NA,chick,C69083,pGB-KM,pGB-KM,NA,DNA-Massey,NA,female,NA,63,57.9,21.2,15.6,2.4,136,NA,NA,NA,NA,NA,NA,1,26,but,3.2 band and 4 mm non-band leg,All glued with plastic fix,Tony Beauchamp,NA
2021/2022,8/02/2022,Sandspit,457,NA,chick,C69084,YK-BM,YK-BM,NA,DNA-Massey,NA,female,NA,61,48.6,16,17.6,2.8,101,NA,NA,NA,NA,NA,NA,1,18,but,all colours 4 mm,All glued with plastic fix,Ayla Wiles TB colours,NA
2003/2004,5/02/2004,NA,NA,NA,adult,C43876,RpG-M,RpG-M,NA,NA,NA,female,NA,69.5,63.8,28.63,19.63,NA,195,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,hatched 14/01/1998
2009/2010,23/12/2010,NA,NA,NA,adult,C28703,M-WR,M-WR,NA,NA,NA,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,replaced colour bands
1991/1992,6/01/1992,NA,NA,NA,chick,C43756,B-M,B-M,male,Unknown,NA,male,NA,63.5,54.5,21.4,17.1,NA,129,NA,NA,NA,NA,NA,NA,1,23,NA,NA,no,NA,NA
1992/1993,7/02/1993,NA,NA,NA,chick,C42539,WB-M,WB-M,male,Unknown,NA,male,NA,62,50.9,18.8,16.7,NA,124,NA,NA,NA,NA,NA,NA,1,23,NA,NA,no,NA,NA
1993/1994,27/01/1994,NA,NA,NA,chick,C43771,R-M,R-M,male,Unknown,NA,male,NA,50.5,49.4,17.8,17,NA,95.5,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
1994/1995,26/01/1995,NA,NA,NA,chick,C43812,pG-M,pG-M,male,Unknown,NA,male,NA,50,52.15,21.25,19.35,NA,90,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
1994/1995,26/01/1995,NA,NA,NA,chick,C43813,pGY-M,pGY-M,male,Unknown,NA,male,NA,63,59,19.7,25.5,NA,124,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no,NA,NA
1997/1998,5/01/1998,NA,NA,NA,chick,C43873,RW-M,RW-M,male,field obs,NA,male,NA,50,46,15.1,16,NA,102,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
1997/1998,11/01/1998,NA,NA,NA,chick,C43875,RB-M,RB-M,male,behaviour,NA,male,NA,68,51.1,16.4,18.7,NA,104,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
1997/1998,13/01/1998,NA,NA,NA,chick,C43877,BY-M,BY-M,male,DNA,NA,male,NA,60,50.1,18.3,18.8,NA,97,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1997/1998,13/01/1998,NA,NA,NA,chick,C43878,BR-M,BR-M,male,DNA,NA,male,NA,54,49.3,18.5,18.4,NA,93,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
1997/1998,13/01/1998,NA,NA,NA,chick,C43879,BpG-M,BpG-M,male,Unknown,NA,male,NA,52.5,49.5,17.3,17.1,NA,93,NA,NA,NA,NA,NA,NA,1,18,NA,NA,no,NA,NA
1998/1999,21/03/1999,NA,NA,NA,adult,C43880,M-RY,M-RY,male,DNA,NA,male,NA,70,65.7,29.6,16.8,NA,190,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,no,NA,NA
1998/1999,27/01/1999,zoo,NA,NA,juvenile,C44003,pGR-M,pGR-M,male,DNA,female,male,NA,66,61.78,NA,15.31,NA,190,NA,NA,NA,NA,NA,NA,1,34,NA,NA,no,NA,NA
1999/2000,28/12/1999,NA,NA,NA,chick,C28709,M-YW,M-YW,male,Unknown,NA,male,NA,61.5,51.2,17.8,18.5,NA,103,NA,NA,NA,NA,NA,NA,1,16,NA,NA,Tetrahydrofuran,NA,NA
2000/2001,31/12/2000,NA,NA,NA,chick,C41554,M-YR,M-YR,male,DNA?,NA,male,NA,52.2,49.8,17.27,18.41,NA,104,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2000/2001,18/01/2001,NA,NA,NA,chick,C41557,M-RB,M-RB,male,DNA?,NA,male,NA,59.5,47.41,16.17,18.22,NA,95,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2000/2001,31/12/2000,NA,NA,NA,chick,C44014,M-pGY,M-pGY,male,behaviour,NA,male,NA,60.5,48.73,18.02,19.41,NA,98,NA,NA,NA,NA,NA,NA,1,47,NA,NA,no,NA,NA
2001/2002,18/12/2001,NA,NA,NA,chick,C41565,M-RpG,M-RpG,male,DNA,NA,male,NA,55.5,49.05,16.56,18.69,NA,93,NA,NA,NA,NA,NA,NA,1,17,NA,NA,no,NA,NA
2002/2003,31/01/2003,NA,NA,NA,chick,C41569,nil-YM,B-YM,male,DNA,NA,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,NA,NA
2002/2003,1/02/2003,NA,NA,NA,chick,C41570,nil-pGM,B-pGM,male,DNA,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,NA,NA
2003/2004,27/12/2003,NA,NA,NA,chick,C41571,nil-M,B-RM,male,DNA,NA,male,NA,58.5,49.94,18.29,17.76,NA,93,NA,NA,NA,NA,NA,NA,1,16,NA,NA,no,NA,NA
2003/2004,6/01/2004,NA,NA,NA,chick,C41574,Y-RM,Y-RM,male,DNA,NA,male,NA,57.5,49.9,17.57,17.87,NA,90,NA,NA,NA,NA,NA,NA,1,24,NA,NA,no,NA,NA
2003/2004,7/01/2004,NA,NA,NA,chick,C44015,Y-WM,Y-WM,male,behaviour,yes,male,NA,56.5,50.14,18.2,18.38,NA,103,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,NA,NA
2005/2006,23/12/2005,NA,NA,NA,chick,C69004,M-KW,M-KW,male,DNA,male,male,NA,56,NA,18,NA,NA,105,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,Katrina Hansen,NA
2005/2006,23/01/2006,NA,NA,NA,chick,C69009,M-KpG,M-KpG,male,DNA,NA,male,NA,60,50.24,18,20,NA,103,NA,NA,NA,NA,NA,NA,1,19,NA,NA,no,Katrina Hansen,NA
2005/2006,23/01/2006,NA,NA,NA,chick,C69010,M-WK,M-WK,male,DNA,NA,male,NA,59,51.58,17.5,19.87,NA,109,NA,NA,NA,NA,NA,NA,1,20,NA,NA,no,Katrina Hansen,NA
2006/2007,2/01/2007,NA,NA,NA,chick,C69012,M-K,M-K,male,DNA,NA,male,NA,54,48.03,17.4,14.7,NA,88,NA,NA,NA,NA,NA,NA,1,19,but,NA,no,Tony Beauchamp,NA
