season,nest_id,natalsite,egg_id,female_band,female_id,f_age,male_band,male_id,m_age,clutch_no,date_eggs_found,lay_date,estimated_lay,total_eggs_clutch,candled,candled_date,fertile,egg_length,egg_width,candling_weight,loss_parent,loss_id,date_parent_lost,egg_managed,management_reason,notes,eggs_recovered_date,age_recovered_eggs,notes_transfer,days_ai,date_egg_transferbackto_nest,age_donor_eggs,returned_remained_natal,foster_site,foster_nest_id,foster_f_band,foster_f_id,hatched,hatched_date,eggfail_outcome,eggfail_cause,eggfail_date,chickfail_outcome,chickfail_cause,chickfail_date,chick_transfer_date_zoo,notes_chick_transfer,age_chick_transfer,chick_captive_reared,days_chick_captive_reared,transfer_date_to_aviary,release_date_from_aviary,release_site,fledgling_id,band_date,chick_weight_banding,fledged,fledge_date,comments
2001/2002,154,Mangawhai,NA,RpG-M,C43876,4,M-RY,C43880,3,1,21/10/2001,unknown,21/10/2001,1,0,30/10/2001,1,NA,NA,NA,0,NA,NA,ai,abandoned,NA,6/11/2001,16,NA,6,12/11/2001,22,0,Papakanui,162,WpG-M,C42541,1,13/11/2001,NA,NA,NA,disappeareared,storm,14/11/2001,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,155,Mangawhai,NA,G-M,C43757,10,unbanded male,unbanded male,NA,1,8/11/2001,8/11/2001,8/11/2001,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,presumed predated,9/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,156,Mangawhai,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,2,3/12/2001,unknown,3/12/2001,1,1,7/12/2001,0,NA,NA,NA,1,unbanded m,3/12/2001,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,"one parent only, infertile",8/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,157,Mangawhai,NA,RpG-M,C43876,4,M-RY,C43880,3,2,4/12/2001,unknown,19/11/2001,2,1,7/12/2001,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,157,Mangawhai,NA,RpG-M,C43876,4,M-RY,C43880,3,2,4/12/2001,unknown,19/11/2001,2,1,7/12/2001,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,12/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41566,29/12/2001,62,1,5/01/2002,NA
2001/2002,158,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,9,1,3/11/2001,3/11/2001,3/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,washed out,inundated by tide,6/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,158,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,9,1,4/11/2001,4/11/2001,4/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,washed out,inundated by tide,6/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,159,Waipu,NA,M-W,C43758,10,BpG-M,C43879,4,1,5/11/2001,unknown,5/11/2001,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,egg cracked,6/01/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,160,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,9,2,18/11/2001,18/11/2001,18/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,ai,force,to swap with older eggs at zoo,24/11/2001,6,NA,14,8/12/2001,20,0,Papakanui,164,WpG-M,C42541,1,11/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C28701,29/12/2001,NA,1,NA,NA
2001/2002,160,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,9,2,19/11/2001,19/11/2001,19/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,ai,force,to swap with older eggs at zoo,24/11/2001,5,NA,14,8/12/2001,19,0,Papakanui,164,WpG-M,C42541,1,14/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C28702,29/12/2001,NA,1,NA,NA
2001/2002,161,Waipu,NA,M-W,C43758,10,BpG-M,C43879,4,2,24/11/2001,unknown,22/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,14/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41567,NA,NA,1,NA,NA
2001/2002,161,Waipu,NA,M-W,C43758,10,BpG-M,C43879,4,2,24/11/2001,24/11/2001,24/11/2001,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,15/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41568,NA,NA,1,NA,NA
2001/2002,162,Papakanui,NA,WpG-M,C42541,9,unbanded male,unbanded male,NA,1,7/11/2001,unknown,6/11/2001,2,1,12/11/2001,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,12/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,162,Papakanui,NA,WpG-M,C42541,9,unbanded male,unbanded male,NA,1,7/11/2001,unknown,7/11/2001,2,1,12/11/2001,1,NA,NA,NA,0,NA,NA,ai,to make room for Mangawhai egg nest 154,NA,12/11/2001,17,NA,0,28/11/2001,21,0,Waipu,160,unbanded female,unbanded female,1,30/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41565,NA,NA,1,NA,NA
2001/2002,163,Papakanui,NA,Y-M,C43768,8,unbanded male,unbanded male,NA,1,11/11/2001,unknown,10/11/2001,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,lost,storm,15/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,164,Papakanui,NA,WpG-M,C42541,9,unbanded male,unbanded male,NA,2,28/11/2001,28/11/2001,28/11/2001,2,1,8/12/2001,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,did not hatch,infertile,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,164,Papakanui,NA,WpG-M,C42541,9,unbanded male,unbanded male,NA,2,28/11/2001,28/11/2001,28/11/2001,2,1,8/12/2001,1,NA,NA,NA,0,NA,NA,ai,to  make room,NA,8/12/2001,10,NA,9,17/12/2001,19,0,Mangawhai,157,RpG-M,C43876,0,NA,died hatching,poor incubation by foster parents,22/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,165,Papakanui,NA,Y-M,C43768,8,unbanded male,unbanded male,NA,2,1/12/2001,unknown,30/11/2001,1,1,05/12/2001,1,NA,NA,NA,1,unbanded m,1/12/2001,none,abandoned,m never seen feeding f or incubating,05/12/2001,5,NA,4,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,one parent,09/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,m never seen feeding f or incubating
2002/2003,167,Mangawhai,NA,RpG-M,C43876,5,unbanded male,unbanded male,NA,1,26/11/2002,26/11/2002,26/11/2002,2,1,30/11/2002,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,inundated by tide,29/11/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,deemed infertile by zoo by had been inundated previous day by water
2002/2003,167,Mangawhai,NA,RpG-M,C43876,5,unbanded male,unbanded male,NA,1,26/11/2002,26/11/2002,26/11/2002,2,1,30/11/2002,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,inundated by tide,29/11/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,deemed infertile by zoo by had been inundated previous day by water
2002/2003,168,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,8,1,26/11/2002,26/11/2002,26/11/2002,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,presume predated,8/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,168,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,8,1,27/11/2002,27/11/2002,27/11/2002,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,presume predated,8/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,169,Mangawhai,NA,M-YpG,C28714,3,RB-M,C43875,5,1,5/12/2002,5/12/2002,5/12/2002,1,1,5/12/2002,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,abandon,19/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,170,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,10,1,6/12/2002,6/12/2002,6/12/2002,2,unknown,NA,1,NA,NA,NA,1,unbanded f,29/12/2002,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,27/12/2002,NA,NA,NA,disappeared,possibly left too long-one parent,5/01/2003,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,170,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,10,1,7/12/2002,7/12/2002,7/12/2002,2,unknown,NA,1,NA,NA,NA,1,unbanded f,29/12/2002,none,NA,NA,NA,NA,NA,0,NA,NA,0,Mangawhai,171,RpG-M,C43876,1,31/12/2002,NA,NA,NA,chick death,storm/dehydrate,8/01/2003,NA,transferred on day chick hathced to foster nest,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,transferred as day old chick to foster nest
2002/2003,171,Mangawhai,NA,RpG-M,C43876,5,unbanded male,unbanded male,NA,2,11/12/2002,11/12/2002,11/12/2002,2,1,17/12/2002,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,31/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,171,Mangawhai,NA,RpG-M,C43876,5,unbanded male,unbanded male,NA,2,12/12/2002,12/12/2002,12/12/2002,2,1,17/12/2002,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,31/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,172,Waipu,NA,M-RW,C43984,3,M-YR,C41554,2,1,18/12/2002,18/12/2002,18/12/2002,1,1,28/12/2002,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,8/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,173,Waipu,NA,M-WpG,C28712,3,BpG-M,C43879,5,1,22/12/2002,22/12/2002,22/12/2002,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,8/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,173,Waipu,NA,M-WpG,C28712,3,BpG-M,C43879,5,1,24/12/2002,24/12/2002,24/12/2002,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,8/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2002/2003,174,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,8,2,21/12/2002,21/12/2002,20/12/2002,2,1,28/12/2002,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,12/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41569,31/01/2003,59.5,1,unknown,NA
2002/2003,174,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,8,2,21/12/2002,21/12/2002,20/12/2002,2,1,28/12/2002,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41570,31/01/2003,56,1,unknown,NA
2002/2003,175,Papakanui,NA,WpG-M,C42541,10,unbanded male,unbanded male,NA,1,23/12/2002,23/12/2002,23/12/2002,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,pred unknown,25/12/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,176,Mangawhai,NA,unbanded female,unbanded female,NA,RW-M,C43873,6,1,15/11/2003,unknown,15/11/2003,2,1,28/11/2003,1,NA,NA,NA,1,C43873,9/12/2003,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,unknown,9/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,176,Mangawhai,NA,unbanded female,unbanded female,NA,RW-M,C43873,6,1,15/11/2003,unknown,15/11/2003,2,1,28/11/2003,1,NA,NA,NA,1,C43873,9/12/2003,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,8/12/2003,NA,NA,NA,disappeared,one parent,12/12/2003,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,177,Mangawhai,NA,RpG-M,C43876,6,unbanded male,unbanded male,NA,1,15/11/2003,15/11/2003,15/11/2003,2,1,24/11/2003,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/11/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,177,Mangawhai,NA,RpG-M,C43876,6,unbanded male,unbanded male,NA,1,17/11/2003,17/11/2003,17/11/2003,2,1,24/11/2003,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/11/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,178,Waipu,NA,M-WpG,C28712,4,WB-M,C42539,11,1,17/11/2003,17/11/2003,17/11/2003,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,10/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C41571,27/12/2003,58.5,1,unknown,NA
2003/2004,178,Waipu,NA,M-WpG,C28712,4,WB-M,C42539,11,1,19/11/2003,19/11/2003,19/11/2003,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,11/12/2003,NA,NA,NA,disappeared,suspected BBG,17/12/2003,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,179,Mangawhai,NA,M-WY,C28704,4,pGY-M,C43813,9,1,19/11/2003,19/11/2003,19/11/2003,2,1,28/11/2003,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,12/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C41572,30/12/2003,55,1,unknown,NA
2003/2004,179,Mangawhai,NA,M-WY,C28704,4,pGY-M,C43813,9,1,21/11/2003,unknown,21/11/2003,2,1,28/11/2003,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,13/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C41573,30/12/2003,54.5,1,unknown,NA
2003/2004,180,Waipu,NA,M-RW,C43984,4,BpG-M,C43879,6,1,25/11/2003,25/11/2003,25/11/2003,2,1,11/12/2003,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,19/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C41574,6/01/2004,57.5,1,unknown,NA
