season,nest_id,natalsite,egg_id,female_band,female_id,f_age,male_band,male_id,m_age,clutch_no,date_eggs_found,lay_date,estimated_lay,total_eggs_clutch,candled,candled_date,fertile,egg_length,egg_width,candling_weight,loss_parent,loss_id,date_parent_lost,egg_managed,management_reason,notes,eggs_recovered_date,age_recovered_eggs,notes_transfer,days_ai,date_egg_transferbackto_nest,age_donor_eggs,returned_remained_natal,foster_site,foster_nest_id,foster_f_band,foster_f_id,hatched,hatched_date,eggfail_outcome,eggfail_cause,eggfail_date,chickfail_outcome,chickfail_cause,chickfail_date,chick_transfer_date_zoo,notes_chick_transfer,age_chick_transfer,chick_captive_reared,days_chick_captive_reared,transfer_date_to_aviary,release_date_from_aviary,release_site,fledgling_id,band_date,chick_weight_banding,fledged,fledge_date,comments
2000/2001,137,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,6,1,31/10/2000,unknown,27/10/2001,1,0,NA,1,NA,NA,NA,0,NA,NA,ai,abondoned in high winds,NA,3/11/2000,7,straight to zoo,16,NA,NA,0,zoo,NA,NA,NA,1,19/11/2000,NA,NA,NA,chick death,health,23/11/2000,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,138,Mangawhai,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,31/10/2000,31/10/2000,31/10/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,ai,"high winds, poor incubation",NA,3/11/2000,4,nest abandoned,9,NA,NA,0,NA,NA,NA,NA,0,NA,no hatch,embryo death,12/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,138,Mangawhai,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,31/10/2000,31/10/2000,31/10/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,removed_dead,"high winds, poor incubation",NA,3/11/2000,4,"nest abandoned, egg crackedduring transfer",0,NA,NA,1,NA,NA,NA,NA,0,NA,failed to hacth,damage,3/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,139,Mangawhai,NA,G-M,C43757,9,unbanded male,unbanded male,NA,1,20/11/2000,20/11/2000,20/11/2000,2,1,5/12/2001,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,5/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,139,Mangawhai,NA,G-M,C43757,9,unbanded male,unbanded male,NA,1,20/11/2000,20/11/2000,20/11/2000,2,1,5/12/2001,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,5/12/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,140,Mangawhai,NA,RpG-M,C43876,3,M-RY,C43880,2,1,23/11/2000,23/11/2000,23/11/2000,1,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,14/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C44014,31/12/2000,NA,1,10/01/2001,NA
2000/2001,141,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,6,2,23/11/2000,unknown,18/11/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,11/12/2000,NA,NA,NA,pred,possibly cat,24/12/2000,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,141,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,6,2,23/11/2000,unknown,18/11/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,donate,force,NA,5/12/2000,12,NA,0,5/12/2000,12,0,Mangawhai,139,G-M,C43757,1,14/12/2000,NA,NA,NA,disappeared,possibly cat,15/12/2000,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,142,Mangawhai,NA,G-M,C43757,9,unbanded male,unbanded male,NA,2,29/12/2000,29/12/2000,29/12/2000,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,human,16/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,142,Mangawhai,NA,G-M,C43757,9,unbanded male,unbanded male,NA,2,31/12/2000,31/12/2000,31/12/2000,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,human,16/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,143,Waipu,NA,M-W,C43758,9,BpG-M,C43879,3,1,20/11/2000,20/11/2000,20/11/2000,1,unknown,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,likely rat,23/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,144,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,8,1,20/11/2000,20/11/2000,20/11/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41553,31/12/2000,NA,1,unknown,NA
2000/2001,144,Waipu,NA,unbanded female,unbanded female,NA,WB-M,C42539,8,1,20/11/2000,20/11/2000,20/11/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41554,31/12/2000,NA,1,unknown,NA
2000/2001,145,Waipu,NA,M-W,C43758,9,BpG-M,C43879,3,2,6/12/2000,6/12/2000,6/12/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,30/12/2000,NA,NA,NA,disappeared,unknown,1/01/2001,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,145,Waipu,NA,M-W,C43758,9,BpG-M,C43879,3,2,7/12/2000,7/12/2000,7/12/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,30/12/2000,NA,NA,NA,disappeared,unknown,1/01/2001,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,150,Papakanui,NA,Y-M,C43768,7,unbanded male,unbanded male,NA,1,28/11/2000,28/11/2000,28/11/2000,1,1,5/12/2000,1,zoo,zoo,zoo,1,unbanded m,29/11/2000,ai,only 1 parent,NA,5/12/2000,7,NA,18,NA,NA,0,zoo,NA,NA,NA,1,23/12/2000,NA,NA,NA,euthanised,development issues,unknown,NA,NA,NA,1,unknown,NA,NA,NA,NA,NA,NA,0,NA,NA
2000/2001,151,Papakanui,NA,WpG-M,C42541,8,unbanded male,unbanded male,NA,1,7/12/2000,7/12/2000,7/12/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,30/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41557,18/01/2001,NA,1,unknown,NA
2000/2001,151,Papakanui,NA,WpG-M,C42541,8,unbanded male,unbanded male,NA,1,9/12/2000,9/12/2000,9/12/2000,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,31/12/2000,NA,NA,NA,chick death,unknown,6/01/2001,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2001/2002,152,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,7,1,21/10/2001,unknown,19/10/2001,2,1,30/10/2001,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,10/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41563,27/11/2001,57.5,1,unknown,NA
2001/2002,152,Mangawhai,NA,unbanded female,unbanded female,NA,pGY-M,C43813,7,1,21/10/2001,unknown,19/10/2001,2,1,30/10/2001,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,10/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C41564,27/11/2001,54,1,unknown,NA
2001/2002,153,Mangawhai,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,21/10/2001,unknown,21/10/2001,1,0,25/10/2001,1,NA,NA,NA,0,NA,NA,ai,abandoned,NA,25/10/2001,NA,NA,9,NA,NA,0,NA,NA,NA,NA,0,NA,no hatch,embryo death,3/11/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
